Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,28-254,1995,13.3,634,758,83.6,10158,3130,318,350,90.9,252,289,87.2,44,73,60.3,1,0.8,1.4,+0.2,14,47,11,0,64
Robert Skov,dk DEN,"DF,FW",Hoffenheim,27-244,1996,9.3,304,421,72.2,5672,2111,120,140,85.7,140,176,79.5,40,78,51.3,3,1.6,0.8,+1.4,14,29,7,3,35
Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,23-155,2000,2.8,193,220,87.7,3664,1307,54,65,83.1,120,128,93.8,16,23,69.6,0,0.0,0.0,0.0,1,8,0,0,7
Danilo Soares,br BRA,DF,Bochum,32-082,1991,3.9,124,179,69.3,2028,942,65,75,86.7,50,79,63.3,8,20,40.0,0,0.1,0.1,-0.1,3,12,3,0,15
Borna Sosa,hr CRO,"FW,DF",Stuttgart,25-363,1998,0.5,27,43,62.8,481,122,16,17,94.1,7,13,53.8,4,11,36.4,0,0.3,0.1,-0.3,3,2,0,0,2
Anton Stach,de GER,MF,Hoffenheim,25-065,1998,12.5,484,608,79.6,7838,2394,247,282,87.6,184,224,82.1,39,74,52.7,0,1.5,0.9,-1.5,6,59,13,2,64
Anton Stach,de GER,MF,Mainz 05,25-065,1998,1.9,43,68,63.2,639,168,26,37,70.3,12,20,60.0,3,7,42.9,0,0.1,0.1,-0.1,2,7,1,0,8
Jens Stage,dk DEN,MF,Werder Bremen,27-072,1996,15.9,468,623,75.1,7631,2446,236,304,77.6,198,248,79.8,27,44,61.4,1,1.0,1.0,0.0,15,42,6,2,50
Josip Stanišić,hr CRO,DF,Leverkusen,23-292,2000,3.8,279,308,90.6,4318,1539,159,166,95.8,95,103,92.2,22,29,75.9,0,0.4,0.4,-0.4,5,28,5,1,30
Niklas Stark,de GER,DF,Werder Bremen,28-280,1995,7.4,308,396,77.8,6425,2966,82,106,77.4,184,206,89.3,42,77,54.5,0,0.0,0.1,0.0,0,18,2,0,20
