Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Lukas Klostermann,de GER,DF,RB Leipzig,27-230,1996,9.7,877,58,281,544,54,6,877,1,0,0.0,1,100.0,580,2726,1644,12,8,0,1,0,654,8
Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,22-009,2002,9.9,454,9,82,205,173,45,454,26,9,34.6,15,57.7,236,1499,789,34,13,16,20,8,267,62
Robin Knoche,de GER,DF,Union Berlin,31-242,1992,12.6,838,74,439,391,15,8,837,4,2,50.0,1,25.0,486,2495,1436,2,3,0,12,0,517,1
Gregor Kobel,ch SUI,GK,Dortmund,26-044,1997,16.3,748,551,743,5,0,0,748,0,0,,0,,431,2246,1096,0,0,0,0,0,400,0
Robin Koch,de GER,DF,Eint Frankfurt,27-186,1996,14.7,1143,216,619,507,22,5,1143,2,1,50.0,1,50.0,721,3291,1905,6,6,0,2,1,787,1
Dominik Kohr,de GER,"MF,DF",Mainz 05,29-353,1994,12.4,789,45,297,420,79,16,789,8,3,37.5,5,62.5,358,1596,695,12,5,1,12,3,462,15
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,25-045,1998,1.7,56,1,1,30,27,10,56,15,4,26.7,10,66.7,42,336,180,6,4,2,3,8,46,9
Kouadio Koné,fr FRA,MF,M'Gladbach,22-247,2001,7.8,399,7,71,233,105,14,399,40,20,50.0,16,40.0,257,1565,730,19,16,4,24,22,279,29
Odilon Kossonou,ci CIV,DF,Leverkusen,23-015,2001,13.4,1042,45,266,638,150,8,1042,29,18,62.1,11,37.9,619,3488,1728,30,23,4,9,11,740,15
Dawid Kownacki,pl POL,FW,Werder Bremen,26-311,1997,2.6,91,2,5,40,46,16,91,3,2,66.7,1,33.3,41,213,60,3,1,2,9,1,70,18
Alex Král,cz CZE,MF,Union Berlin,25-245,1998,9.5,376,21,88,212,80,10,376,5,2,40.0,2,40.0,172,1082,601,10,11,0,8,6,202,16
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,32-214,1991,11.1,617,15,76,270,273,45,613,26,12,46.2,12,46.2,349,2061,1045,28,23,11,20,17,416,72
Christoph Kramer,de GER,MF,M'Gladbach,32-334,1991,2.0,174,4,48,80,46,6,174,9,4,44.4,5,55.6,97,458,219,8,2,3,3,4,107,7
Frans Krätzig,de GER,DF,Bayern Munich,21-005,2003,0.6,60,4,20,23,17,1,60,1,0,0.0,1,100.0,38,220,108,0,1,0,1,2,42,7
Tom Krauß,de GER,MF,Mainz 05,22-211,2001,9.7,527,22,116,307,109,8,527,8,2,25.0,5,62.5,198,1040,453,9,8,4,20,10,260,18
Lukas Kübler,de GER,DF,Freiburg,31-142,1992,9.5,496,44,162,237,97,5,496,8,3,37.5,2,25.0,218,844,307,3,5,0,4,5,244,18
Moritz-Broni Kwarteng,gh GHA,"FW,MF",Bochum,25-266,1998,1.8,80,0,4,35,43,8,80,14,5,35.7,6,42.9,57,430,190,5,4,1,11,2,58,13
Maxence Lacroix,fr FRA,DF,Wolfsburg,23-288,2000,13.2,977,98,493,470,23,7,977,8,4,50.0,4,50.0,514,2364,1216,2,2,0,9,0,633,2
Aïssa Laïdouni,tn TUN,MF,Union Berlin,27-037,1996,8.0,442,7,83,242,125,15,442,12,6,50.0,6,50.0,250,1269,534,11,11,2,10,14,294,26
Konrad Laimer,at AUT,"DF,MF",Bayern Munich,26-237,1997,12.1,1006,17,204,536,277,35,1006,35,16,45.7,17,48.6,633,3305,1797,46,30,13,11,10,695,60
Hugo Larsson,se SWE,MF,Eint Frankfurt,19-206,2004,13.8,766,34,243,395,136,11,766,15,6,40.0,9,60.0,438,2057,838,20,15,4,18,5,505,26
Diogo Leite,pt POR,DF,Union Berlin,24-361,1999,15.6,1111,123,513,530,76,12,1111,4,3,75.0,1,25.0,597,2860,1606,10,6,1,14,3,662,2
Maxim Leitsch,de GER,DF,Mainz 05,25-246,1998,4.1,186,25,113,67,6,0,186,1,0,0.0,1,100.0,83,334,156,1,0,0,1,0,89,0
Christopher Lenz,de GER,"DF,MF",RB Leipzig,29-119,1994,0.4,44,2,16,17,12,1,44,0,0,,0,,15,51,19,0,0,0,1,0,28,5
Christopher Lenz,de GER,DF,Eint Frankfurt,29-119,1994,0.1,13,2,4,8,1,0,13,0,0,,0,,5,22,18,0,1,0,1,1,6,0
