Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Julian Weigl,de GER,MF,M'Gladbach,28-133,1995,16,"1,431",89,93.5,15.9,16,89,15,0,,0,1.06,32,34,-2,-0.13,-0.13,23.4,26.5,-3.1,-0.20,+0.50
Nelson Weiper,de GER,"FW,MF",Mainz 05,18-308,2005,3,104,35,6.8,1.2,1,69,0,2,18,0,0.33,1,3,-2,-1.73,-0.91,1.8,2.0,-0.2,-0.21,-0.09
Mitchell Weiser,de GER,"DF,FW",Werder Bremen,29-273,1994,17,"1,474",87,96.3,16.4,17,87,14,0,,0,1.00,24,27,-3,-0.18,+6.25,21.8,26.8,-4.9,-0.30,+3.30
Noah Weißhaupt,de GER,"DF,MF",Freiburg,22-121,2001,14,533,38,34.8,5.9,5,80,2,9,15,2,1.36,8,9,-1,-0.17,+0.19,11.4,8.6,+2.8,+0.47,+0.60
Timo Werner,de GER,"FW,MF",RB Leipzig,27-319,1996,8,207,26,13.5,2.3,2,62,0,6,14,4,2.00,6,4,+2,+0.87,-0.35,4.8,3.3,+1.5,+0.64,-0.34
Silvan Widmer,ch SUI,"DF,FW",Mainz 05,30-320,1993,5,443,89,29.0,4.9,5,89,2,0,,4,0.80,3,4,-1,-0.20,+0.96,6.7,3.7,+2.9,+0.59,+1.00
Lasse Wilhelm,de GER,DF,Mainz 05,20-305,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
Patrick Wimmer,at AUT,FW,Wolfsburg,22-234,2001,6,280,47,18.3,3.1,4,69,0,2,2,2,2.00,8,3,+5,+1.61,+2.47,4.9,2.8,+2.1,+0.66,+1.21
Jonas Wind,dk DEN,FW,Wolfsburg,24-346,1999,17,"1,492",88,97.5,16.6,17,88,12,0,,0,1.18,21,28,-7,-0.42,-0.42,20.1,25.1,-5.0,-0.30,+0.92
Frederik Winther,dk DEN,DF,Augsburg,23-015,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Florian Wirtz,de GER,MF,Leverkusen,20-261,2003,17,"1,291",76,84.4,14.3,15,82,3,2,30,0,2.65,42,11,+31,+2.16,+0.65,29.9,13.6,+16.3,+1.14,-0.15
Maximilian Wittek,de GER,"DF,MF",Bochum,28-151,1995,9,497,55,32.5,5.5,7,66,3,2,19,6,0.67,5,17,-12,-2.17,-1.91,6.8,11.8,-5.0,-0.91,-0.76
Maximilian Wöber,at AUT,DF,M'Gladbach,25-349,1998,15,"1,321",88,86.3,14.7,15,88,12,0,,0,0.93,29,31,-2,-0.14,-0.14,21.4,25.5,-4.1,-0.28,-0.34
Marius Wolf,de GER,DF,Dortmund,28-237,1995,12,630,53,41.2,7.0,7,79,5,5,15,4,1.92,17,11,+6,+0.86,+0.66,14.5,11.1,+3.4,+0.48,+0.44
Nick Woltemade,de GER,"FW,MF",Werder Bremen,21-339,2002,13,268,21,17.5,3.0,1,64,0,12,17,3,1.23,9,6,+3,+1.01,+1.72,7.3,6.2,+1.1,+0.38,+0.98
