Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Leon Goretzka,de GER,MF,Bayern Munich,28-347,1995,9.4,566,556,7,6,5,1,3,1,0,0,0,0,503,3,6
Robin Gosens,de GER,"DF,MF",Union Berlin,29-198,1994,10.8,526,426,99,7,2,1,36,90,2,0,2,0,391,1,14
Mario Götze,de GER,MF,Eint Frankfurt,31-230,1992,9.6,523,493,26,9,4,1,20,7,10,3,7,0,399,4,16
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-193,1991,13.0,681,647,27,23,1,7,7,2,0,0,0,0,534,7,4
Jens Grahl,de GER,GK,Eint Frankfurt,35-119,1988,1.0,45,38,7,2,0,0,0,0,0,0,0,0,26,0,0
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-248,2002,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1
Michael Gregoritsch,at AUT,FW,Freiburg,29-276,1994,7.4,155,154,1,0,0,0,4,0,0,0,0,0,89,0,7
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-287,1993,13.1,689,578,104,33,4,7,96,8,47,21,21,0,488,7,12
Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28-165,1995,9.6,521,493,27,19,1,2,9,1,5,1,4,0,439,1,8
Álex Grimaldo,es ESP,DF,Leverkusen,28-121,1995,16.9,1124,938,182,16,3,5,88,118,48,32,2,0,930,4,31
Christian Groß,de GER,"MF,DF",Werder Bremen,34-345,1989,5.1,251,241,9,5,0,0,7,1,0,0,0,0,205,1,2
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-233,2004,9.2,348,290,57,6,2,2,28,37,11,6,2,0,218,1,10
Ilia Gruev,bg BUL,MF,Werder Bremen,23-258,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,30-028,1993,4.2,246,245,1,1,0,0,5,0,0,0,0,0,214,0,5
Josuha Guilavogui,fr FRA,DF,Mainz 05,33-122,1990,0.3,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0
