Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Connor Ronan,ie IRL,MF,Wolves,eng Premier League,24,1998,0.0,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0
Salomón Rondón,ve VEN,FW,Everton,eng Premier League,32,1989,1.2,29,28,1,0,0,0,0,1,0,0,0,0,22,0,0
Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,27,1994,33.7,2109,2055,47,40,6,16,8,7,0,0,0,0,1855,7,22
Marten de Roon,nl NED,MF,Atalanta,it Serie A,31,1991,32.9,1912,1833,75,54,0,24,13,17,0,0,0,0,1587,4,21
Pablo Rosario,nl NED,"MF,DF",Nice,fr Ligue 1,25,1997,19.6,1049,1022,25,17,1,3,11,8,0,0,0,0,930,2,9
Francesco Rossi,it ITA,GK,Atalanta,it Serie A,31,1991,0.0,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0
Tom Rothe,de GER,DF,Dortmund,de Bundesliga,17,2004,0.3,18,14,4,2,0,0,2,2,0,0,0,0,15,0,0
Joe Rothwell,eng ENG,MF,Bournemouth,eng Premier League,27,1995,11.3,457,402,54,24,4,2,26,1,21,12,4,3,385,1,6
Anthony Rouault,fr FRA,DF,Toulouse,fr Ligue 1,21,2001,36.8,2063,1923,138,67,1,23,0,12,0,0,0,0,1802,2,14
Jérôme Roussillon,fr FRA,"MF,DF",Wolfsburg,de Bundesliga,29,1993,0.2,7,6,1,0,0,0,0,1,0,0,0,0,3,0,0
Jérôme Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,29,1993,10.6,438,332,102,4,2,0,36,98,0,0,0,0,307,4,14
Nicolò Rovella,it ITA,MF,Monza,it Serie A,20,2001,19.3,1363,1292,68,52,1,24,28,6,10,2,7,0,1206,3,15
Nicolò Rovella,it ITA,MF,Juventus,it Serie A,20,2001,0.3,25,22,3,1,0,2,3,1,1,1,0,0,22,0,1
Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,28,1994,27.2,2167,2097,67,63,0,30,1,3,0,0,0,0,1977,3,7
Ruan,br BRA,DF,Sassuolo,it Serie A,23,1999,19.0,939,875,62,35,1,3,0,2,0,0,0,0,835,2,8
Rubén,es ESP,"DF,MF",Espanyol,es La Liga,21,2001,9.9,339,286,52,5,2,2,48,47,0,0,0,0,232,1,9
Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,29,1993,26.8,1617,1562,55,25,3,16,5,20,0,0,0,0,1486,0,14
Sebastian Rudy,de GER,MF,Hoffenheim,de Bundesliga,32,1990,8.8,442,387,53,21,0,1,41,0,30,7,13,2,330,2,8
Daniele Rugani,it ITA,DF,Juventus,it Serie A,28,1994,6.3,262,255,7,4,0,3,0,0,0,0,0,0,231,0,0
Matteo Ruggeri,it ITA,"DF,MF",Atalanta,it Serie A,20,2002,9.2,631,527,102,5,0,2,38,96,1,1,0,0,515,2,10
Mário Rui,pt POR,DF,Napoli,it Serie A,31,1991,19.4,1734,1427,300,70,2,30,110,188,42,15,19,0,1408,7,26
Aitor Ruibal,es ESP,"DF,FW",Betis,es La Liga,26,1996,16.2,841,691,148,18,1,10,31,130,0,0,0,0,647,2,22
