Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,npGls,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Glsp90,Astp90,G+Ap90,npGlsp90,npGlsAstp90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90
Fabian Schär,ch SUI,DF,Newcastle Utd,30.0,1991.0,36.0,36.0,"3,206",35.6,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,4.9,4.9,3.3,8.2,27.0,139.0,32.0,0.03,0.08,0.11,0.03,0.11,0.14,0.09,0.23,0.14,0.23
Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22.0,2000.0,11.0,2.0,258,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,5.0,5.0,11.0,0.35,0.0,0.35,0.35,0.35,0.09,0.03,0.12,0.09,0.12
Luke Shaw,eng ENG,DF,Manchester Utd,27.0,1995.0,31.0,30.0,"2,552",28.4,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,1.1,1.1,3.6,4.7,53.0,140.0,76.0,0.04,0.07,0.11,0.04,0.11,0.04,0.13,0.16,0.04,0.16
Ellis Simms,eng ENG,FW,Everton,21.0,2001.0,11.0,2.0,228,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.9,2.0,4.0,19.0,0.39,0.0,0.39,0.39,0.39,0.34,0.03,0.37,0.34,0.37
Oliver Skipp,eng ENG,MF,Tottenham,21.0,2000.0,23.0,18.0,"1,491",16.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,0.6,0.9,14.0,56.0,25.0,0.06,0.0,0.06,0.06,0.06,0.02,0.04,0.05,0.02,0.05
Çağlar Söyüncü,tr TUR,DF,Leicester City,26.0,1996.0,7.0,6.0,529,5.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,5.0,12.0,0.0,0.17,0.0,0.17,0.17,0.17,0.07,0.01,0.08,0.07,0.08
Sam Surridge,eng ENG,FW,Nott'ham Forest,24.0,1998.0,20.0,1.0,323,3.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.1,1.8,2.0,6.0,17.0,0.28,0.0,0.28,0.28,0.28,0.5,0.02,0.51,0.5,0.51
James Tarkowski,eng ENG,DF,Everton,29.0,1992.0,38.0,38.0,"3,420",38.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,3.1,3.1,2.9,6.0,13.0,106.0,11.0,0.03,0.03,0.05,0.03,0.05,0.08,0.08,0.16,0.08,0.16
Tetê,br BRA,FW,Leicester City,22.0,2000.0,13.0,9.0,734,8.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.4,2.2,22.0,26.0,55.0,0.12,0.0,0.12,0.12,0.12,0.22,0.05,0.27,0.22,0.27
Kenny Tete,nl NED,DF,Fulham,26.0,1995.0,31.0,29.0,"2,569",28.5,1.0,5.0,6.0,1.0,0.0,0.0,8.0,0.0,0.7,0.7,1.9,2.5,75.0,103.0,69.0,0.04,0.18,0.21,0.04,0.21,0.02,0.07,0.09,0.02,0.09
James Tomkins,eng ENG,DF,Crystal Palace,33.0,1989.0,6.0,3.0,338,3.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.27,0.0,0.27,0.27,0.27,0.27,0.0,0.27,0.27,0.27
Kieran Trippier,eng ENG,DF,Newcastle Utd,31.0,1990.0,38.0,38.0,"3,341",37.1,1.0,7.0,8.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,12.4,13.3,45.0,260.0,151.0,0.03,0.19,0.22,0.03,0.22,0.02,0.33,0.36,0.02,0.36
Leandro Trossard,be BEL,FW,Arsenal,27.0,1994.0,20.0,10.0,931,10.3,1.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,4.7,6.6,36.0,57.0,102.0,0.1,0.97,1.06,0.1,1.06,0.18,0.46,0.64,0.18,0.64
Joël Veltman,nl NED,DF,Brighton,30.0,1992.0,31.0,25.0,"2,188",24.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,0.7,2.5,43.0,153.0,49.0,0.04,0.04,0.08,0.04,0.08,0.07,0.03,0.1,0.07,0.1
Fabio Vieira,pt POR,"MF,FW",Arsenal,22.0,2000.0,22.0,3.0,514,5.7,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,2.5,3.3,8.0,35.0,40.0,0.18,0.35,0.53,0.18,0.53,0.15,0.44,0.58,0.15,0.58
Kyle Walker-Peters,eng ENG,DF,Southampton,25.0,1997.0,31.0,30.0,"2,650",29.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.4,2.5,102.0,97.0,114.0,0.03,0.0,0.03,0.03,0.03,0.03,0.05,0.08,0.03,0.08
Joel Ward,eng ENG,DF,Crystal Palace,32.0,1989.0,28.0,24.0,"2,256",25.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,0.4,1.5,22.0,101.0,46.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06
